Group 1,Group 2,Group 3
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.47619', 'Distance: 0.00820']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.45833', 'Distance: 0.00966']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.48000', 'Distance: 0.01201']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.48000', 'Distance: 0.01201']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.48000', 'Distance: 0.01201']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.45455', 'Distance: 0.01344']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.45455', 'Distance: 0.01344']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.45455', 'Distance: 0.01344']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.45455', 'Distance: 0.01344']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.45455', 'Distance: 0.01344']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.45455', 'Distance: 0.01344']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.45455', 'Distance: 0.01344']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.45455', 'Distance: 0.01344']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.45455', 'Distance: 0.01344']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.45455', 'Distance: 0.01344']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.45455', 'Distance: 0.01344']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.45455', 'Distance: 0.01344']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.45455', 'Distance: 0.01344']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.45455', 'Distance: 0.01344']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.45455', 'Distance: 0.01344']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.45455', 'Distance: 0.01344']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.45455', 'Distance: 0.01344']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.48276', 'Distance: 0.01477']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.48485', 'Distance: 0.01686']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.45000', 'Distance: 0.01799']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.45000', 'Distance: 0.01799']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.45000', 'Distance: 0.01799']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.45000', 'Distance: 0.01799']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.48649', 'Distance: 0.01850']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44828', 'Distance: 0.01971']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44737', 'Distance: 0.02062']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
"['Value: 0.14286', 'Distance: 0.01006']","['Value: 0.44444', 'Distance: 0.02355']","['Value: 0.20000', 'Distance: 0.01125']"
